Student_Rating,Teaching_Experience,Subject_Expertise_Level,Course_Difficulty,Student_Feedback,Teacher_Availability,Recommendation,Teacher_Name,Subject
8,20,5,2,5,5,5,Mr. Brown,Mathematics
3,18,3,5,3,6,1,Mr. Brown,Science
1,3,1,4,2,36,1,Ms. Lee,History
8,8,5,3,1,36,1,Ms. Lee,Mathematics
3,15,1,2,3,16,2,Ms. Wilson,Mathematics
3,3,4,3,2,22,3,Ms. Lee,Science
1,19,4,2,5,10,2,Ms. Smith,Art
5,2,4,3,1,26,3,Ms. Smith,History
10,12,1,5,3,33,2,Mr. Brown,Literature
7,21,3,4,3,25,1,Mr. Johnson,Art
10,18,3,4,2,31,2,Ms. Smith,Mathematics
9,10,5,3,5,1,4,Mr. Brown,Literature
7,10,4,5,3,24,1,Ms. Lee,Art
9,13,2,4,4,4,1,Ms. Lee,Science
8,12,5,5,2,29,2,Mr. Johnson,Mathematics
2,7,3,3,3,35,1,Mr. Johnson,Art
1,26,1,2,3,3,3,Mr. Johnson,Literature
7,24,2,5,3,28,2,Ms. Smith,Literature
7,16,2,4,5,9,1,Ms. Lee,Art
8,22,5,1,5,21,3,Ms. Smith,Science
5,9,2,2,3,11,2,Mr. Johnson,Art
3,5,5,5,4,15,3,Ms. Wilson,Art
8,22,2,1,4,21,3,Ms. Wilson,Art
6,4,1,3,3,40,3,Mr. Brown,History
3,9,4,5,3,3,3,Ms. Wilson,Literature
1,18,2,1,2,25,3,Ms. Lee,Literature
3,14,1,1,3,38,1,Ms. Smith,Art
5,1,4,2,5,35,1,Ms. Smith,Literature
3,27,1,1,3,25,1,Ms. Wilson,History
1,22,4,2,2,21,3,Mr. Brown,History
5,28,2,3,2,37,3,Ms. Smith,Literature
10,6,4,4,2,9,3,Ms. Smith,History
7,6,5,1,4,33,3,Ms. Wilson,Mathematics
7,14,4,5,3,22,1,Mr. Johnson,Science
9,16,2,4,4,35,1,Ms. Wilson,Art
10,6,5,4,4,6,3,Ms. Wilson,Art
10,20,5,1,2,4,3,Mr. Brown,Science
3,11,4,5,4,23,1,Ms. Wilson,Mathematics
7,14,1,3,5,9,1,Ms. Lee,Mathematics
1,9,1,5,5,1,2,Mr. Brown,Mathematics
4,7,5,2,2,19,2,Ms. Wilson,Science
4,24,1,4,5,31,1,Mr. Johnson,Mathematics
5,8,4,5,1,6,3,Ms. Wilson,Art
7,12,4,5,4,10,3,Mr. Brown,Mathematics
7,10,5,1,5,10,1,Ms. Wilson,History
4,11,5,4,1,3,1,Mr. Brown,Science
7,20,1,2,4,39,1,Ms. Smith,Literature
3,6,1,2,4,38,3,Ms. Lee,Art
6,12,2,5,5,3,2,Ms. Smith,Mathematics
2,23,3,1,5,32,3,Ms. Lee,History
10,22,3,3,3,34,3,Mr. Brown,Mathematics
9,13,1,4,3,5,3,Mr. Brown,Art
5,22,5,4,2,25,2,Mr. Brown,Science
6,7,2,2,4,19,3,Ms. Lee,Mathematics
4,9,1,5,5,1,1,Mr. Johnson,Mathematics
10,24,2,5,1,27,2,Mr. Johnson,History
7,3,3,3,2,6,2,Ms. Smith,Science
9,28,3,4,2,14,2,Ms. Smith,Art
7,3,1,3,4,17,1,Ms. Lee,Literature
1,16,1,5,1,31,3,Mr. Johnson,Literature
1,18,2,1,4,27,2,Ms. Lee,Literature
9,13,1,1,4,13,3,Ms. Lee,History
9,22,4,2,5,26,4,Ms. Smith,Mathematics
4,23,1,4,5,23,1,Ms. Lee,Science
9,9,3,1,5,38,3,Ms. Wilson,Literature
3,6,3,1,3,24,2,Mr. Brown,History
7,15,2,3,1,18,1,Ms. Lee,Literature
6,9,1,1,1,31,1,Ms. Wilson,History
8,18,3,4,3,14,1,Ms. Lee,Science
9,20,4,3,3,36,2,Mr. Johnson,History
5,13,5,5,1,36,1,Ms. Smith,Art
1,1,1,1,2,26,3,Ms. Smith,Mathematics
3,6,4,2,3,5,1,Ms. Smith,History
10,19,4,1,5,39,5,Mr. Brown,History
8,26,2,2,1,7,1,Mr. Johnson,Mathematics
6,22,2,3,4,36,2,Ms. Smith,Art
8,1,2,3,4,36,3,Ms. Wilson,Science
9,24,5,2,5,8,5,Ms. Smith,History
4,22,3,2,1,22,2,Ms. Wilson,Science
1,12,2,5,1,7,2,Ms. Smith,Art
1,29,4,4,3,16,3,Ms. Wilson,Science
10,23,5,3,2,34,1,Ms. Lee,Science
4,25,1,2,1,26,3,Mr. Brown,History
7,16,3,3,2,18,1,Mr. Johnson,History
2,4,4,1,4,11,3,Ms. Wilson,Art
3,4,2,3,4,5,2,Mr. Brown,Science
1,10,5,2,4,31,2,Mr. Brown,Mathematics
5,14,5,2,1,39,2,Mr. Brown,Science
1,20,1,4,1,19,2,Mr. Brown,Science
8,18,3,1,2,40,1,Ms. Wilson,Mathematics
1,3,1,3,4,24,3,Ms. Lee,History
1,6,3,1,3,1,2,Ms. Lee,Literature
2,18,1,2,3,16,3,Mr. Johnson,Literature
2,9,4,5,3,35,3,Ms. Smith,Art
6,26,3,1,4,39,1,Ms. Lee,Mathematics
7,13,4,1,4,5,2,Ms. Wilson,Literature
5,19,4,3,5,10,3,Ms. Lee,Mathematics
1,10,2,1,4,7,3,Ms. Lee,History
1,16,3,5,1,28,1,Ms. Wilson,History
3,19,5,5,5,14,3,Mr. Johnson,Science
2,6,2,4,5,36,3,Mr. Johnson,Literature
5,2,2,4,1,6,3,Ms. Smith,History
10,28,4,1,3,5,3,Ms. Wilson,Mathematics
6,16,3,5,2,1,1,Mr. Brown,Mathematics
7,20,4,1,3,10,1,Ms. Wilson,Literature
4,14,1,4,3,37,1,Mr. Brown,Mathematics
7,1,1,4,5,30,3,Mr. Brown,Mathematics
8,4,5,4,1,29,3,Ms. Wilson,History
1,21,3,3,2,16,2,Ms. Smith,Art
6,28,4,1,2,18,1,Ms. Smith,Art
8,5,4,5,1,21,3,Mr. Brown,Mathematics
5,10,4,5,3,26,1,Mr. Brown,History
4,18,2,4,2,10,2,Mr. Johnson,Art
2,29,1,4,5,23,1,Ms. Smith,Mathematics
6,9,3,4,3,14,2,Ms. Smith,History
6,7,5,1,1,32,2,Mr. Johnson,Art
1,4,2,4,1,38,1,Mr. Brown,Science
9,21,5,5,5,4,3,Ms. Lee,History
6,28,4,1,1,38,3,Mr. Brown,Literature
3,15,2,2,4,29,2,Mr. Brown,Art
4,27,4,5,4,2,2,Mr. Brown,Literature
4,17,4,4,5,15,2,Ms. Lee,History
3,26,1,2,1,30,1,Ms. Wilson,Mathematics
10,5,5,1,5,29,3,Ms. Wilson,History
3,11,4,2,5,36,1,Ms. Wilson,Science
3,6,3,2,2,10,3,Mr. Brown,Literature
4,5,4,5,4,28,2,Mr. Johnson,Literature
7,22,5,5,1,10,1,Ms. Lee,Science
4,23,5,3,4,25,2,Ms. Smith,History
9,13,3,5,5,36,4,Ms. Lee,Science
1,6,3,1,4,15,1,Mr. Brown,Literature
8,15,1,3,3,16,2,Ms. Smith,History
7,13,5,2,1,23,1,Ms. Smith,History
2,13,1,5,2,2,1,Ms. Lee,Art
8,10,3,2,4,1,5,Ms. Wilson,Art
1,2,3,5,1,19,1,Ms. Smith,History
9,2,2,5,2,17,1,Ms. Wilson,History
9,9,4,4,2,5,3,Mr. Brown,Literature
2,22,1,5,2,25,1,Mr. Brown,Art
7,26,2,3,4,39,2,Ms. Wilson,History
10,20,2,1,1,8,3,Ms. Lee,Science
3,10,2,2,3,14,3,Ms. Wilson,History
7,21,3,3,5,19,1,Ms. Lee,Science
10,29,2,5,3,11,3,Ms. Lee,Literature
9,28,4,3,4,12,3,Mr. Brown,Mathematics
4,11,2,5,4,22,3,Ms. Smith,Mathematics
1,21,5,2,3,10,3,Ms. Smith,Art
2,8,2,5,1,7,2,Mr. Brown,Science
1,21,3,5,1,18,2,Ms. Smith,History
5,18,3,3,3,22,2,Mr. Johnson,Mathematics
5,2,5,2,5,3,1,Ms. Wilson,Art
7,21,5,4,5,21,1,Ms. Smith,Science
9,4,5,3,1,15,2,Mr. Johnson,History
9,29,3,1,2,8,1,Ms. Wilson,Science
3,18,4,2,2,36,3,Ms. Wilson,Literature
3,22,2,5,1,3,3,Mr. Johnson,Art
3,16,5,5,5,30,1,Ms. Lee,Mathematics
4,24,2,2,3,28,2,Mr. Brown,History
8,2,2,5,5,36,2,Ms. Smith,Art
6,26,1,1,1,31,3,Ms. Lee,History
8,7,2,3,3,3,2,Mr. Brown,Art
1,4,1,1,1,34,1,Ms. Smith,Mathematics
8,5,3,1,3,31,3,Ms. Wilson,Science
4,18,2,3,5,25,1,Mr. Johnson,Art
1,27,4,3,5,27,3,Ms. Lee,Mathematics
8,10,2,5,3,6,2,Ms. Wilson,Science
4,9,4,5,5,35,3,Ms. Lee,Literature
6,16,3,2,5,39,3,Ms. Wilson,Literature
8,19,5,1,2,28,2,Ms. Smith,Art
4,26,3,4,5,23,3,Ms. Wilson,Literature
3,17,3,3,4,5,1,Ms. Lee,Art
9,4,5,1,2,35,3,Ms. Smith,Mathematics
3,1,4,3,4,18,3,Ms. Smith,History
9,29,5,4,3,36,3,Ms. Lee,Literature
2,6,1,2,1,4,1,Mr. Johnson,Art
2,16,1,4,5,16,1,Mr. Johnson,Mathematics
2,13,3,1,2,28,3,Ms. Wilson,History
6,4,3,4,4,25,1,Mr. Brown,Science
3,28,2,4,1,40,1,Mr. Brown,History
9,20,3,2,5,29,4,Ms. Smith,Art
4,9,2,5,1,33,3,Ms. Smith,Mathematics
1,25,5,5,1,27,1,Mr. Brown,History
4,23,5,1,1,26,2,Ms. Lee,Art
1,4,1,4,1,8,2,Ms. Smith,History
5,25,1,4,3,28,2,Ms. Wilson,Literature
4,5,1,4,4,35,3,Mr. Johnson,Literature
8,26,3,5,5,4,5,Mr. Johnson,History
8,27,2,2,1,17,1,Mr. Brown,Mathematics
7,4,5,1,3,13,1,Ms. Wilson,Science
3,21,5,5,4,24,3,Ms. Lee,Mathematics
1,25,4,1,1,27,2,Ms. Smith,History
1,11,5,1,1,20,1,Mr. Brown,History
3,28,1,2,4,6,1,Ms. Smith,Mathematics
6,17,3,3,1,32,1,Mr. Brown,Mathematics
7,7,3,1,3,6,1,Ms. Smith,Art
6,9,4,4,4,37,1,Mr. Brown,Art
6,27,5,3,4,33,2,Mr. Johnson,Mathematics
6,17,3,3,3,6,3,Ms. Smith,Literature
3,19,4,5,4,1,1,Ms. Wilson,Science
6,13,4,3,2,39,3,Mr. Johnson,Mathematics
8,23,2,5,3,33,3,Mr. Brown,Art
2,4,2,4,5,24,3,Mr. Brown,Art
5,9,4,5,5,35,1,Ms. Lee,History
1,26,5,5,2,24,1,Mr. Brown,History
1,11,5,5,2,5,2,Mr. Brown,History
5,13,3,1,4,21,3,Ms. Lee,History
3,24,3,4,4,4,1,Ms. Lee,History
4,16,1,1,3,3,2,Ms. Wilson,History
3,10,1,1,1,34,3,Ms. Lee,Science
1,4,1,1,3,32,2,Mr. Johnson,History
1,29,5,5,1,34,3,Mr. Brown,Literature
5,3,5,3,1,8,1,Ms. Lee,History
6,21,4,3,4,18,3,Mr. Johnson,History
3,23,4,5,4,20,1,Ms. Wilson,Mathematics
9,22,3,4,4,7,5,Ms. Wilson,Art
5,7,3,3,2,22,1,Mr. Brown,History
8,29,1,5,2,12,3,Ms. Smith,Science
1,21,4,4,4,13,2,Ms. Wilson,History
5,12,4,4,5,22,3,Ms. Smith,History
3,18,1,2,5,39,1,Ms. Smith,History
1,5,2,4,5,12,2,Mr. Brown,Art
4,23,5,5,1,37,1,Ms. Wilson,Science
5,17,3,1,1,34,2,Ms. Wilson,Science
7,29,3,3,3,3,3,Mr. Brown,Art
1,5,5,5,3,21,2,Ms. Smith,Literature
3,20,5,1,2,15,1,Ms. Lee,Literature
2,28,1,2,3,39,1,Mr. Brown,Mathematics
9,12,4,4,2,16,1,Mr. Brown,Art
10,23,4,4,3,38,3,Mr. Brown,Literature
6,16,5,1,5,35,3,Ms. Smith,Literature
10,16,4,4,2,25,2,Ms. Lee,Mathematics
3,22,5,5,1,36,1,Mr. Brown,Mathematics
8,7,5,1,3,30,2,Mr. Brown,Science
8,20,4,5,3,27,3,Mr. Brown,Science
2,13,5,1,2,26,1,Mr. Brown,History
6,5,4,4,4,21,3,Mr. Johnson,Mathematics
7,24,1,4,4,6,1,Mr. Johnson,Science
2,19,5,2,5,37,2,Ms. Smith,Art
10,20,3,1,3,4,2,Ms. Wilson,Literature
2,27,1,2,1,26,2,Mr. Johnson,Art
10,16,2,2,5,16,3,Ms. Lee,History
1,10,2,1,5,37,2,Mr. Johnson,History
8,12,5,2,2,20,2,Mr. Brown,Art
1,6,5,1,1,19,2,Ms. Smith,Mathematics
9,23,3,4,2,23,2,Ms. Smith,Mathematics
6,26,1,4,3,16,3,Mr. Johnson,Literature
7,25,1,1,2,37,3,Ms. Lee,Literature
10,29,5,5,2,10,1,Ms. Smith,History
7,21,1,5,5,16,3,Ms. Lee,Art
10,19,3,4,2,25,2,Ms. Lee,Mathematics
3,21,3,1,2,34,3,Ms. Wilson,Literature
2,2,5,2,4,36,1,Ms. Smith,Literature
9,29,2,2,5,18,3,Mr. Brown,Science
8,8,3,4,2,16,1,Ms. Lee,History
10,20,4,5,4,34,4,Ms. Lee,History
7,9,5,3,5,26,3,Ms. Smith,Mathematics
9,3,4,5,4,26,1,Ms. Wilson,Science
4,7,5,2,4,28,1,Mr. Johnson,History
4,3,3,1,3,7,2,Ms. Smith,Science
1,11,5,4,5,2,3,Ms. Smith,Science
8,12,3,4,5,27,3,Ms. Wilson,Literature
3,13,2,2,1,36,1,Mr. Brown,Art
7,4,1,4,3,10,1,Ms. Smith,Science
2,2,5,4,1,1,2,Ms. Lee,Literature
2,6,1,1,3,21,3,Mr. Johnson,Science
7,21,1,3,5,8,2,Ms. Wilson,Art
6,12,5,2,4,15,1,Mr. Brown,History
3,10,2,4,4,12,1,Ms. Wilson,Art
9,26,4,3,4,11,5,Ms. Smith,Art
10,20,4,2,2,17,2,Ms. Smith,History
6,4,5,1,2,9,2,Ms. Smith,Science
10,17,5,5,2,34,2,Ms. Smith,Literature
10,12,5,1,2,37,1,Ms. Lee,Art
6,19,4,5,3,1,1,Ms. Smith,Mathematics
1,21,3,2,3,37,2,Mr. Brown,History
4,15,2,2,1,7,2,Mr. Johnson,Literature
10,2,4,5,4,30,2,Ms. Wilson,History
6,7,5,3,3,19,3,Ms. Wilson,Literature
6,19,1,4,3,32,2,Mr. Brown,Literature
5,27,5,3,1,13,1,Ms. Smith,Science
1,8,3,3,3,1,1,Mr. Johnson,Literature
8,18,1,1,4,25,1,Ms. Smith,History
5,14,4,1,5,2,1,Ms. Wilson,History
5,8,2,5,4,8,2,Mr. Johnson,Science
7,21,2,2,3,26,2,Ms. Smith,Mathematics
4,25,3,5,3,24,3,Mr. Johnson,Mathematics
6,25,3,2,5,4,1,Mr. Brown,History
4,6,2,4,3,14,3,Mr. Johnson,Literature
3,27,3,1,1,21,3,Mr. Brown,Science
7,3,1,2,2,3,1,Ms. Lee,History
8,12,5,3,5,25,4,Ms. Smith,History
4,1,1,5,3,5,3,Ms. Wilson,Art
2,17,5,3,2,10,3,Mr. Brown,Literature
10,5,5,1,2,2,3,Mr. Brown,History
3,12,5,3,2,17,2,Mr. Brown,Art
1,26,2,1,5,36,1,Mr. Brown,History
8,18,3,4,5,21,3,Ms. Wilson,History
3,13,3,3,5,33,1,Ms. Wilson,Art
10,26,5,3,5,25,4,Ms. Smith,Science
7,9,4,1,4,30,2,Mr. Johnson,History
10,3,1,3,3,36,1,Ms. Wilson,Science
5,4,2,5,4,16,3,Mr. Johnson,Literature
10,10,3,1,2,36,2,Ms. Wilson,Literature
5,10,3,3,2,37,2,Mr. Brown,Art
7,2,4,3,5,4,1,Mr. Johnson,Science
9,18,2,2,1,10,3,Ms. Lee,Art
5,3,5,2,2,34,1,Ms. Wilson,Literature
1,11,1,5,3,39,1,Mr. Brown,Literature
10,22,4,3,2,2,2,Ms. Smith,Literature
10,23,4,5,5,5,4,Mr. Johnson,History
1,5,2,3,5,5,3,Ms. Wilson,Literature
2,15,5,1,1,33,2,Ms. Wilson,History
6,24,5,2,4,31,3,Mr. Johnson,Science
9,17,2,3,1,32,1,Mr. Brown,Literature
8,2,2,4,2,11,3,Ms. Smith,Art
5,5,2,5,2,40,3,Ms. Lee,Literature
1,17,3,5,3,5,2,Mr. Johnson,Art
7,11,2,3,5,34,3,Ms. Smith,History
5,10,1,1,5,9,1,Mr. Brown,History
6,23,4,1,5,7,1,Ms. Smith,History
7,19,3,3,2,16,1,Ms. Smith,Art
3,6,1,4,5,34,1,Ms. Lee,Literature
10,10,1,2,1,10,3,Mr. Johnson,Mathematics
3,11,4,2,5,33,1,Ms. Wilson,Mathematics
5,7,2,1,2,24,2,Ms. Smith,Art
6,16,1,4,1,18,1,Mr. Brown,Literature
9,21,5,5,2,2,2,Ms. Lee,Mathematics
5,13,1,5,4,2,3,Ms. Smith,History
1,23,5,4,3,33,2,Ms. Lee,Mathematics
4,11,3,5,5,28,3,Ms. Smith,History
5,3,1,2,3,2,1,Ms. Wilson,Art
10,8,3,4,2,38,3,Mr. Johnson,Art
10,23,2,4,1,19,3,Ms. Wilson,Art
5,4,2,1,4,1,1,Mr. Brown,Mathematics
7,7,2,2,3,13,1,Ms. Smith,Science
4,10,3,3,5,24,3,Mr. Johnson,Mathematics
1,12,4,2,4,18,2,Ms. Lee,Mathematics
5,11,3,3,1,14,1,Mr. Johnson,Mathematics
7,5,2,2,5,7,1,Ms. Wilson,Mathematics
10,26,4,2,3,34,2,Ms. Wilson,Literature
10,5,5,2,4,16,3,Ms. Wilson,Science
6,19,4,1,3,30,3,Ms. Smith,History
5,15,4,5,1,4,2,Mr. Brown,Literature
4,7,4,5,2,11,2,Ms. Wilson,Art
2,4,4,2,3,19,2,Ms. Smith,Literature
4,7,1,3,2,35,1,Ms. Wilson,Literature
10,7,3,2,2,39,3,Ms. Smith,Mathematics
10,10,1,5,2,10,1,Ms. Smith,History
3,4,2,1,5,35,2,Mr. Brown,Literature
10,18,1,5,3,34,2,Ms. Lee,Mathematics
1,22,4,4,1,5,1,Mr. Johnson,Art
8,6,3,3,3,9,2,Ms. Lee,Art
5,21,1,3,4,11,1,Ms. Smith,History
4,1,4,2,3,26,3,Ms. Lee,Literature
8,2,1,2,2,24,3,Ms. Lee,History
7,23,1,1,5,25,1,Mr. Brown,Mathematics
2,3,4,3,2,6,2,Ms. Wilson,Science
1,7,3,1,4,1,2,Ms. Lee,History
4,2,3,2,4,16,3,Ms. Wilson,Art
8,14,1,4,4,15,1,Ms. Wilson,Science
2,27,2,5,3,2,2,Mr. Johnson,Mathematics
3,25,5,5,3,3,1,Ms. Smith,Mathematics
1,25,5,1,4,32,2,Ms. Smith,Literature
1,5,5,2,3,39,2,Ms. Lee,Science
3,5,5,4,5,8,2,Ms. Lee,Science
5,16,4,4,1,24,2,Mr. Johnson,Literature
3,15,3,3,2,25,1,Mr. Brown,Art
1,16,1,3,3,31,3,Mr. Johnson,Science
1,24,3,3,5,10,1,Mr. Brown,History
8,9,5,2,3,29,1,Ms. Lee,Literature
10,8,1,2,4,23,1,Mr. Johnson,Mathematics
2,26,3,3,2,21,1,Ms. Smith,History
3,22,1,4,3,27,3,Ms. Lee,Art
2,2,2,4,4,38,2,Ms. Lee,Art
3,29,2,1,4,39,2,Ms. Wilson,Art
7,10,3,1,4,17,1,Ms. Lee,Art
1,26,5,5,2,33,3,Mr. Johnson,Art
10,18,1,4,2,14,3,Mr. Brown,Science
8,18,3,4,1,9,1,Mr. Brown,Art
10,19,5,2,5,8,4,Mr. Johnson,Literature
10,5,5,3,3,18,2,Mr. Brown,Literature
10,1,4,2,5,15,2,Ms. Smith,Literature
2,25,2,3,4,12,2,Mr. Johnson,Art
3,27,5,2,4,16,1,Ms. Lee,Literature
9,21,1,4,4,10,2,Ms. Smith,Art
7,23,1,3,3,22,2,Mr. Brown,History
4,11,2,4,1,16,1,Ms. Smith,Science
10,21,2,3,4,23,3,Ms. Lee,Art
5,11,5,4,3,11,1,Ms. Lee,History
2,26,4,4,4,38,2,Ms. Lee,Mathematics
8,3,2,4,1,40,3,Mr. Brown,Literature
4,3,2,4,4,18,2,Ms. Wilson,Art
9,16,1,4,4,29,3,Mr. Brown,Science
5,20,2,4,5,28,1,Ms. Smith,Mathematics
9,15,1,1,5,4,1,Mr. Brown,Art
4,13,5,4,4,11,2,Ms. Lee,Science
10,10,1,5,5,32,3,Ms. Wilson,Mathematics
5,19,3,4,4,22,1,Mr. Brown,Art
9,10,1,5,2,37,2,Ms. Lee,Mathematics
8,16,4,1,4,30,5,Ms. Smith,History
3,6,5,3,1,33,1,Ms. Smith,Art
1,5,1,5,4,14,1,Ms. Wilson,History
3,15,2,3,2,1,2,Mr. Johnson,Art
4,17,3,4,2,40,2,Ms. Smith,Science
2,4,1,4,1,5,3,Mr. Brown,History
1,8,5,5,4,17,3,Ms. Lee,Science
7,12,3,2,2,40,3,Ms. Wilson,Art
8,13,3,1,1,28,2,Mr. Johnson,Science
7,28,2,5,1,18,2,Mr. Johnson,History
5,9,2,1,2,9,2,Ms. Lee,History
1,26,5,2,3,7,3,Mr. Brown,History
7,15,3,1,2,22,1,Mr. Johnson,Mathematics
7,11,5,4,5,13,1,Mr. Johnson,History
9,15,5,1,2,39,1,Ms. Lee,Science
3,29,1,5,2,9,3,Mr. Johnson,Art
9,22,4,1,4,23,3,Ms. Lee,Mathematics
1,29,1,3,3,14,3,Mr. Brown,Literature
1,28,2,3,1,3,3,Ms. Wilson,Art
4,27,2,3,5,6,1,Mr. Johnson,Science
9,15,4,5,3,25,2,Mr. Johnson,History
6,4,5,2,5,21,3,Ms. Wilson,Science
3,28,4,5,2,23,2,Ms. Smith,History
1,16,3,1,3,5,1,Ms. Wilson,Literature
4,10,3,1,4,6,3,Mr. Brown,Art
9,2,5,4,3,24,1,Mr. Johnson,Mathematics
3,12,3,2,1,27,2,Ms. Smith,Art
9,25,4,2,3,2,3,Ms. Lee,Science
7,8,5,4,4,34,2,Mr. Brown,Mathematics
4,21,1,1,1,28,3,Ms. Lee,Literature
3,24,5,5,4,14,3,Mr. Johnson,Science
10,22,3,5,5,36,3,Ms. Smith,Literature
5,17,5,5,4,9,2,Ms. Wilson,Mathematics
5,24,4,3,5,3,2,Ms. Wilson,History
3,5,1,2,4,36,2,Mr. Brown,Science
9,19,1,1,1,35,3,Ms. Wilson,History
4,11,1,4,1,19,1,Mr. Johnson,Mathematics
5,17,1,4,1,25,2,Ms. Smith,History
4,28,2,4,4,10,3,Mr. Brown,Literature
5,24,5,1,4,23,1,Mr. Johnson,Mathematics
7,6,3,4,4,3,3,Mr. Johnson,Science
9,12,4,3,5,27,3,Ms. Smith,Science
7,7,4,4,4,3,1,Mr. Brown,Art
5,16,4,3,3,34,2,Mr. Brown,Art
10,3,3,1,2,34,3,Ms. Lee,Art
10,12,2,5,5,18,1,Ms. Smith,Mathematics
7,26,3,1,3,36,1,Ms. Wilson,Literature
10,8,4,4,5,24,3,Ms. Smith,Mathematics
5,3,5,2,5,31,2,Ms. Smith,History
3,15,1,4,3,32,2,Ms. Lee,Literature
7,21,4,5,2,4,2,Ms. Lee,Art
2,6,3,5,4,40,3,Ms. Wilson,History
